Datawrappergemeente,Gemiddeldinkomenperinwoner,Gemeente
Maarkedal,21114,Maarkedal
Zwalm,21547,Zwalm
Beveren,21023,Beveren
Kruibeke,20415,Kruibeke
Lokeren,18804,Lokeren
Sint-Gillis-Waas,20333,Sint-Gillis-Waas
Sint-Niklaas,18093,Sint-Niklaas
Stekene,19734,Stekene
Temse,19539,Temse
Ath,18369,Aat
Beloeil,16885,Beloeil
Bernissart,16482,Bernissart
Brugelette,16873,Brugelette
Chièvres,17775,Chièvres
Ellezelles,18365,Elzele
Flobecq,19494,Vloesberg
Frasnes-lez-Anvaing,18075,Frasnes-lez-Anvaing
Chapelle-lez-Herlaimont,15677,Chapelle-lez-Herlaimont
Charleroi,13444,Charleroi
Châtelet,13897,Châtelet
Courcelles,15519,Courcelles
Farciennes,11727,Farciennes
Fleurus,16122,Fleurus
Fontaine-l'Évêque,15591,Fontaine-l’Evêque
Gerpinnes,21205,Gerpinnes
Manage,14812,Manage
Montigny-le-Tilleul,20988,Montigny-le-Tilleul
Pont-à-Celles,19155,Pont-à-Celles
Seneffe,19600,Seneffe
Aiseau-Presles,16153,Aiseau-Presles
Les Bons Villers,20344,Les Bons Villers
Boussu,14129,Boussu
Dour,15199,Dour
Frameries,15251,Frameries
Hensies,15709,Hensies
Jurbise,20345,Jurbeke
Lens,17939,Lens
Mons,16166,Bergen
Quaregnon,13860,Quaregnon
Quiévrain,14830,Quiévrain
Saint-Ghislain,17238,Saint-Ghislain
Colfontaine,13206,Colfontaine
Honnelles,18431,Honnelles
Quévy,18715,Quévy
Mouscron,15241,Moeskroen
Comines-Warneton,15174,Komen-Waasten
Braine-le-Comte,18604,Braine-le-Comte
Enghien,19518,Edingen
La Louvière,14649,La Louvière
Lessines,16816,Lessen
Le Roeulx,19106,Le Roeulx
Silly,20295,Opzullik
Soignies,17350,Zinnik
Écaussinnes,17463,Ecaussinnes
Anderlues,15532,Anderlues
Beaumont,16787,Beaumont
Binche,16228,Binche
Chimay,15271,Chimay
Erquelinnes,15160,Erquelinnes
Froidchapelle,15606,Froidchapelle
